from_asset,to_asset,year,rep_period,specification,partition
FI_Battery,FI_Balance,2050,1,uniform,3.0
FI_Balance,FI_Battery,2050,1,uniform,3.0
SI_Balance,SI_E_Demand,2050,1,uniform,3.0
SI_Solar,SI_Balance,2050,1,uniform,3.0
SI_Wind_Onshore,SI_Balance,2050,1,uniform,3.0
SI_Wind_Offshore,SI_Balance,2050,1,uniform,3.0
SI_Coal,SI_Balance,2050,1,uniform,3.0
SI_Nuclear,SI_Balance,2050,1,uniform,3.0
SI_CCGT,SI_Balance,2050,1,uniform,3.0
SI_OCGT,SI_Balance,2050,1,uniform,3.0
SI_Wind_Onshore2,SI_Balance,2050,1,uniform,3.0
SI_Wind_Offshore2,SI_Balance,2050,1,uniform,3.0
SI_Coal2,SI_Balance,2050,1,uniform,3.0
SI_Nuclear2,SI_Balance,2050,1,uniform,3.0
SI_Battery,SI_Balance,2050,1,uniform,3.0
SI_Balance,SI_Battery,2050,1,uniform,3.0
HU_Balance,HU_E_Demand,2050,1,uniform,3.0
HU_Solar,HU_Balance,2050,1,uniform,3.0
HU_Wind_Onshore,HU_Balance,2050,1,uniform,3.0
HU_Wind_Offshore,HU_Balance,2050,1,uniform,3.0
HU_Coal,HU_Balance,2050,1,uniform,3.0
HU_Nuclear,HU_Balance,2050,1,uniform,3.0
HU_CCGT,HU_Balance,2050,1,uniform,3.0
HU_OCGT,HU_Balance,2050,1,uniform,3.0
HU_Wind_Onshore2,HU_Balance,2050,1,uniform,3.0
HU_Wind_Offshore2,HU_Balance,2050,1,uniform,3.0
HU_Coal2,HU_Balance,2050,1,uniform,3.0
HU_Nuclear2,HU_Balance,2050,1,uniform,3.0
HU_Battery,HU_Balance,2050,1,uniform,3.0
HU_Balance,HU_Battery,2050,1,uniform,3.0
SK_Balance,SK_E_Demand,2050,1,uniform,3.0
SK_Solar,SK_Balance,2050,1,uniform,3.0
SK_Wind_Onshore,SK_Balance,2050,1,uniform,3.0
SK_Wind_Offshore,SK_Balance,2050,1,uniform,3.0
SK_Coal,SK_Balance,2050,1,uniform,3.0
SK_Nuclear,SK_Balance,2050,1,uniform,3.0
SK_CCGT,SK_Balance,2050,1,uniform,3.0
SK_OCGT,SK_Balance,2050,1,uniform,3.0
SK_Wind_Onshore2,SK_Balance,2050,1,uniform,3.0
SK_Wind_Offshore2,SK_Balance,2050,1,uniform,3.0
SK_Coal2,SK_Balance,2050,1,uniform,3.0
SK_Nuclear2,SK_Balance,2050,1,uniform,3.0
SK_Battery,SK_Balance,2050,1,uniform,3.0
SK_Balance,SK_Battery,2050,1,uniform,3.0
PT_Balance,PT_E_Demand,2050,1,uniform,4.0
PT_Solar,PT_Balance,2050,1,uniform,4.0
PT_Wind_Onshore,PT_Balance,2050,1,uniform,4.0
PT_Wind_Offshore,PT_Balance,2050,1,uniform,4.0
PT_Coal,PT_Balance,2050,1,uniform,4.0
PT_Nuclear,PT_Balance,2050,1,uniform,4.0
PT_CCGT,PT_Balance,2050,1,uniform,4.0
PT_OCGT,PT_Balance,2050,1,uniform,4.0
PT_Wind_Onshore2,PT_Balance,2050,1,uniform,4.0
PT_Wind_Offshore2,PT_Balance,2050,1,uniform,4.0
PT_Coal2,PT_Balance,2050,1,uniform,4.0
PT_Nuclear2,PT_Balance,2050,1,uniform,4.0
PT_Battery,PT_Balance,2050,1,uniform,4.0
PT_Balance,PT_Battery,2050,1,uniform,4.0
HR_Balance,HR_E_Demand,2050,1,uniform,4.0
HR_Solar,HR_Balance,2050,1,uniform,4.0
HR_Wind_Onshore,HR_Balance,2050,1,uniform,4.0
HR_Wind_Offshore,HR_Balance,2050,1,uniform,4.0
HR_Coal,HR_Balance,2050,1,uniform,4.0
HR_Nuclear,HR_Balance,2050,1,uniform,4.0
HR_CCGT,HR_Balance,2050,1,uniform,4.0
HR_OCGT,HR_Balance,2050,1,uniform,4.0
HR_Wind_Onshore2,HR_Balance,2050,1,uniform,4.0
HR_Wind_Offshore2,HR_Balance,2050,1,uniform,4.0
HR_Coal2,HR_Balance,2050,1,uniform,4.0
HR_Nuclear2,HR_Balance,2050,1,uniform,4.0
HR_Battery,HR_Balance,2050,1,uniform,4.0
HR_Balance,HR_Battery,2050,1,uniform,4.0
RO_Balance,RO_E_Demand,2050,1,uniform,4.0
RO_Solar,RO_Balance,2050,1,uniform,4.0
RO_Wind_Onshore,RO_Balance,2050,1,uniform,4.0
RO_Wind_Offshore,RO_Balance,2050,1,uniform,4.0
RO_Coal,RO_Balance,2050,1,uniform,4.0
RO_Nuclear,RO_Balance,2050,1,uniform,4.0
RO_CCGT,RO_Balance,2050,1,uniform,4.0
RO_OCGT,RO_Balance,2050,1,uniform,4.0
RO_Wind_Onshore2,RO_Balance,2050,1,uniform,4.0
RO_Wind_Offshore2,RO_Balance,2050,1,uniform,4.0
RO_Coal2,RO_Balance,2050,1,uniform,4.0
RO_Nuclear2,RO_Balance,2050,1,uniform,4.0
RO_Battery,RO_Balance,2050,1,uniform,4.0
RO_Balance,RO_Battery,2050,1,uniform,4.0
GR_Balance,GR_E_Demand,2050,1,uniform,4.0
GR_Solar,GR_Balance,2050,1,uniform,4.0
GR_Wind_Onshore,GR_Balance,2050,1,uniform,4.0
GR_Wind_Offshore,GR_Balance,2050,1,uniform,4.0
GR_Coal,GR_Balance,2050,1,uniform,4.0
GR_Nuclear,GR_Balance,2050,1,uniform,4.0
GR_CCGT,GR_Balance,2050,1,uniform,4.0
GR_OCGT,GR_Balance,2050,1,uniform,4.0
GR_Wind_Onshore2,GR_Balance,2050,1,uniform,4.0
GR_Wind_Offshore2,GR_Balance,2050,1,uniform,4.0
GR_Coal2,GR_Balance,2050,1,uniform,4.0
GR_Nuclear2,GR_Balance,2050,1,uniform,4.0
GR_Battery,GR_Balance,2050,1,uniform,4.0
GR_Balance,GR_Battery,2050,1,uniform,4.0
LV_Balance,LV_E_Demand,2050,1,uniform,4.0
LV_Solar,LV_Balance,2050,1,uniform,4.0
LV_Wind_Onshore,LV_Balance,2050,1,uniform,4.0
LV_Wind_Offshore,LV_Balance,2050,1,uniform,4.0
LV_Coal,LV_Balance,2050,1,uniform,4.0
LV_Nuclear,LV_Balance,2050,1,uniform,4.0
LV_CCGT,LV_Balance,2050,1,uniform,4.0
LV_OCGT,LV_Balance,2050,1,uniform,4.0
LV_Wind_Onshore2,LV_Balance,2050,1,uniform,4.0
LV_Wind_Offshore2,LV_Balance,2050,1,uniform,4.0
LV_Coal2,LV_Balance,2050,1,uniform,4.0
LV_Nuclear2,LV_Balance,2050,1,uniform,4.0
LV_Battery,LV_Balance,2050,1,uniform,4.0
LV_Balance,LV_Battery,2050,1,uniform,4.0
EE_Balance,EE_E_Demand,2050,1,uniform,4.0
EE_Solar,EE_Balance,2050,1,uniform,4.0
EE_Wind_Onshore,EE_Balance,2050,1,uniform,4.0
EE_Wind_Offshore,EE_Balance,2050,1,uniform,4.0
EE_Coal,EE_Balance,2050,1,uniform,4.0
EE_Nuclear,EE_Balance,2050,1,uniform,4.0
EE_CCGT,EE_Balance,2050,1,uniform,4.0
EE_OCGT,EE_Balance,2050,1,uniform,4.0
EE_Wind_Onshore2,EE_Balance,2050,1,uniform,4.0
EE_Wind_Offshore2,EE_Balance,2050,1,uniform,4.0
EE_Coal2,EE_Balance,2050,1,uniform,4.0
EE_Nuclear2,EE_Balance,2050,1,uniform,4.0
EE_Battery,EE_Balance,2050,1,uniform,4.0
EE_Balance,EE_Battery,2050,1,uniform,4.0
MT_Balance,MT_E_Demand,2050,1,uniform,4.0
MT_Solar,MT_Balance,2050,1,uniform,4.0
MT_Wind_Onshore,MT_Balance,2050,1,uniform,4.0
MT_Wind_Offshore,MT_Balance,2050,1,uniform,4.0
MT_Coal,MT_Balance,2050,1,uniform,4.0
MT_Nuclear,MT_Balance,2050,1,uniform,4.0
MT_CCGT,MT_Balance,2050,1,uniform,4.0
MT_OCGT,MT_Balance,2050,1,uniform,4.0
MT_Wind_Onshore2,MT_Balance,2050,1,uniform,4.0
MT_Wind_Offshore2,MT_Balance,2050,1,uniform,4.0
MT_Coal2,MT_Balance,2050,1,uniform,4.0
MT_Nuclear2,MT_Balance,2050,1,uniform,4.0
MT_Battery,MT_Balance,2050,1,uniform,4.0
MT_Balance,MT_Battery,2050,1,uniform,4.0
CY_Balance,CY_E_Demand,2050,1,uniform,4.0
CY_Solar,CY_Balance,2050,1,uniform,4.0
CY_Wind_Onshore,CY_Balance,2050,1,uniform,4.0
CY_Wind_Offshore,CY_Balance,2050,1,uniform,4.0
CY_Coal,CY_Balance,2050,1,uniform,4.0
CY_Nuclear,CY_Balance,2050,1,uniform,4.0
CY_CCGT,CY_Balance,2050,1,uniform,4.0
CY_OCGT,CY_Balance,2050,1,uniform,4.0
CY_Wind_Onshore2,CY_Balance,2050,1,uniform,4.0
CY_Wind_Offshore2,CY_Balance,2050,1,uniform,4.0
CY_Coal2,CY_Balance,2050,1,uniform,4.0
CY_Nuclear2,CY_Balance,2050,1,uniform,4.0
CY_Battery,CY_Balance,2050,1,uniform,4.0
CY_Balance,CY_Battery,2050,1,uniform,4.0
BG_Balance,BG_E_Demand,2050,1,uniform,5.0
BG_Solar,BG_Balance,2050,1,uniform,5.0
BG_Wind_Onshore,BG_Balance,2050,1,uniform,5.0
BG_Wind_Offshore,BG_Balance,2050,1,uniform,5.0
BG_Coal,BG_Balance,2050,1,uniform,5.0
BG_Nuclear,BG_Balance,2050,1,uniform,5.0
BG_CCGT,BG_Balance,2050,1,uniform,5.0
BG_OCGT,BG_Balance,2050,1,uniform,5.0
BG_Wind_Onshore2,BG_Balance,2050,1,uniform,5.0
BG_Wind_Offshore2,BG_Balance,2050,1,uniform,5.0
BG_Coal2,BG_Balance,2050,1,uniform,5.0
BG_Nuclear2,BG_Balance,2050,1,uniform,5.0
BG_Battery,BG_Balance,2050,1,uniform,5.0
BG_Balance,BG_Battery,2050,1,uniform,5.0
X1_Balance,X1_E_Demand,2050,1,uniform,1.0
X1_Solar,X1_Balance,2050,1,uniform,1.0
X1_Wind_Onshore,X1_Balance,2050,1,uniform,1.0
X1_Wind_Offshore,X1_Balance,2050,1,uniform,1.0
X1_Coal,X1_Balance,2050,1,uniform,1.0
X1_Nuclear,X1_Balance,2050,1,uniform,1.0
X1_CCGT,X1_Balance,2050,1,uniform,1.0
X1_OCGT,X1_Balance,2050,1,uniform,1.0
X1_Wind_Onshore2,X1_Balance,2050,1,uniform,1.0
X1_Wind_Offshore2,X1_Balance,2050,1,uniform,1.0
X1_Coal2,X1_Balance,2050,1,uniform,1.0
X1_Nuclear2,X1_Balance,2050,1,uniform,1.0
X1_Battery,X1_Balance,2050,1,uniform,1.0
X1_Balance,X1_Battery,2050,1,uniform,1.0
X2_Balance,X2_E_Demand,2050,1,uniform,1.0
X2_Solar,X2_Balance,2050,1,uniform,1.0
X2_Wind_Onshore,X2_Balance,2050,1,uniform,1.0
X2_Wind_Offshore,X2_Balance,2050,1,uniform,1.0
X2_Coal,X2_Balance,2050,1,uniform,1.0
X2_Nuclear,X2_Balance,2050,1,uniform,1.0
X2_CCGT,X2_Balance,2050,1,uniform,1.0
X2_OCGT,X2_Balance,2050,1,uniform,1.0
X2_Wind_Onshore2,X2_Balance,2050,1,uniform,1.0
X2_Wind_Offshore2,X2_Balance,2050,1,uniform,1.0
X2_Coal2,X2_Balance,2050,1,uniform,1.0
X2_Nuclear2,X2_Balance,2050,1,uniform,1.0
X2_Battery,X2_Balance,2050,1,uniform,1.0
X2_Balance,X2_Battery,2050,1,uniform,1.0
X3_Balance,X3_E_Demand,2050,1,uniform,2.0
X3_Solar,X3_Balance,2050,1,uniform,2.0
X3_Wind_Onshore,X3_Balance,2050,1,uniform,2.0
X3_Wind_Offshore,X3_Balance,2050,1,uniform,2.0
X3_Coal,X3_Balance,2050,1,uniform,2.0
X3_Nuclear,X3_Balance,2050,1,uniform,2.0
X3_CCGT,X3_Balance,2050,1,uniform,2.0
X3_OCGT,X3_Balance,2050,1,uniform,2.0
X3_Wind_Onshore2,X3_Balance,2050,1,uniform,2.0
X3_Wind_Offshore2,X3_Balance,2050,1,uniform,2.0
X3_Coal2,X3_Balance,2050,1,uniform,2.0
X3_Nuclear2,X3_Balance,2050,1,uniform,2.0
X3_Battery,X3_Balance,2050,1,uniform,2.0
X3_Balance,X3_Battery,2050,1,uniform,2.0
X4_Balance,X4_E_Demand,2050,1,uniform,2.0
X4_Solar,X4_Balance,2050,1,uniform,2.0
X4_Wind_Onshore,X4_Balance,2050,1,uniform,2.0
X4_Wind_Offshore,X4_Balance,2050,1,uniform,2.0
X4_Coal,X4_Balance,2050,1,uniform,2.0
X4_Nuclear,X4_Balance,2050,1,uniform,2.0
X4_CCGT,X4_Balance,2050,1,uniform,2.0
X4_OCGT,X4_Balance,2050,1,uniform,2.0
X4_Wind_Onshore2,X4_Balance,2050,1,uniform,2.0
X4_Wind_Offshore2,X4_Balance,2050,1,uniform,2.0
X4_Coal2,X4_Balance,2050,1,uniform,2.0
X4_Nuclear2,X4_Balance,2050,1,uniform,2.0
X4_Battery,X4_Balance,2050,1,uniform,2.0
