asset,commission_year,profile_name,profile_type
SE_Wind_Offshore,2050,SE_Wind_Offshore,availability
SE_Wind_Onshore2,2050,SE_Wind_Onshore,availability
SE_Wind_Offshore2,2050,SE_Wind_Offshore,availability
AT_Solar,2050,AT_Solar,availability
AT_Wind_Onshore,2050,AT_Wind_Onshore,availability
AT_Wind_Offshore,2050,AT_Wind_Offshore,availability
AT_Wind_Onshore2,2050,AT_Wind_Onshore,availability
AT_Wind_Offshore2,2050,AT_Wind_Offshore,availability
CZ_Solar,2050,CZ_Solar,availability
CZ_Wind_Onshore,2050,CZ_Wind_Onshore,availability
CZ_Wind_Offshore,2050,CZ_Wind_Offshore,availability
CZ_Wind_Onshore2,2050,CZ_Wind_Onshore,availability
CZ_Wind_Offshore2,2050,CZ_Wind_Offshore,availability
PL_Solar,2050,PL_Solar,availability
PL_Wind_Onshore,2050,PL_Wind_Onshore,availability
PL_Wind_Offshore,2050,PL_Wind_Offshore,availability
PL_Wind_Onshore2,2050,PL_Wind_Onshore,availability
PL_Wind_Offshore2,2050,PL_Wind_Offshore,availability
ES_Solar,2050,ES_Solar,availability
ES_Wind_Onshore,2050,ES_Wind_Onshore,availability
ES_Wind_Offshore,2050,ES_Wind_Offshore,availability
ES_Wind_Onshore2,2050,ES_Wind_Onshore,availability
ES_Wind_Offshore2,2050,ES_Wind_Offshore,availability
IT_Solar,2050,IT_Solar,availability
IT_Wind_Onshore,2050,IT_Wind_Onshore,availability
IT_Wind_Offshore,2050,IT_Wind_Offshore,availability
IT_Wind_Onshore2,2050,IT_Wind_Onshore,availability
IT_Wind_Offshore2,2050,IT_Wind_Offshore,availability
LT_Solar,2050,LT_Solar,availability
LT_Wind_Onshore,2050,LT_Wind_Onshore,availability
LT_Wind_Offshore,2050,LT_Wind_Offshore,availability
LT_Wind_Onshore2,2050,LT_Wind_Onshore,availability
LT_Wind_Offshore2,2050,LT_Wind_Offshore,availability
FI_Solar,2050,FI_Solar,availability
FI_Wind_Onshore,2050,FI_Wind_Onshore,availability
FI_Wind_Offshore,2050,FI_Wind_Offshore,availability
FI_Wind_Onshore2,2050,FI_Wind_Onshore,availability
FI_Wind_Offshore2,2050,FI_Wind_Offshore,availability
SI_Solar,2050,SI_Solar,availability
SI_Wind_Onshore,2050,SI_Wind_Onshore,availability
SI_Wind_Offshore,2050,SI_Wind_Offshore,availability
SI_Wind_Onshore2,2050,SI_Wind_Onshore,availability
SI_Wind_Offshore2,2050,SI_Wind_Offshore,availability
HU_Solar,2050,HU_Solar,availability
HU_Wind_Onshore,2050,HU_Wind_Onshore,availability
HU_Wind_Offshore,2050,HU_Wind_Offshore,availability
HU_Wind_Onshore2,2050,HU_Wind_Onshore,availability
HU_Wind_Offshore2,2050,HU_Wind_Offshore,availability
SK_Solar,2050,SK_Solar,availability
SK_Wind_Onshore,2050,SK_Wind_Onshore,availability
SK_Wind_Offshore,2050,SK_Wind_Offshore,availability
SK_Wind_Onshore2,2050,SK_Wind_Onshore,availability
SK_Wind_Offshore2,2050,SK_Wind_Offshore,availability
PT_Solar,2050,PT_Solar,availability
PT_Wind_Onshore,2050,PT_Wind_Onshore,availability
PT_Wind_Offshore,2050,PT_Wind_Offshore,availability
PT_Wind_Onshore2,2050,PT_Wind_Onshore,availability
PT_Wind_Offshore2,2050,PT_Wind_Offshore,availability
HR_Solar,2050,HR_Solar,availability
HR_Wind_Onshore,2050,HR_Wind_Onshore,availability
HR_Wind_Offshore,2050,HR_Wind_Offshore,availability
HR_Wind_Onshore2,2050,HR_Wind_Onshore,availability
HR_Wind_Offshore2,2050,HR_Wind_Offshore,availability
RO_Solar,2050,RO_Solar,availability
RO_Wind_Onshore,2050,RO_Wind_Onshore,availability
RO_Wind_Offshore,2050,RO_Wind_Offshore,availability
RO_Wind_Onshore2,2050,RO_Wind_Onshore,availability
RO_Wind_Offshore2,2050,RO_Wind_Offshore,availability
GR_Solar,2050,GR_Solar,availability
GR_Wind_Onshore,2050,GR_Wind_Onshore,availability
GR_Wind_Offshore,2050,GR_Wind_Offshore,availability
GR_Wind_Onshore2,2050,GR_Wind_Onshore,availability
GR_Wind_Offshore2,2050,GR_Wind_Offshore,availability
LV_Solar,2050,LV_Solar,availability
LV_Wind_Onshore,2050,LV_Wind_Onshore,availability
LV_Wind_Offshore,2050,LV_Wind_Offshore,availability
LV_Wind_Onshore2,2050,LV_Wind_Onshore,availability
LV_Wind_Offshore2,2050,LV_Wind_Offshore,availability
EE_Solar,2050,EE_Solar,availability
EE_Wind_Onshore,2050,EE_Wind_Onshore,availability
EE_Wind_Offshore,2050,EE_Wind_Offshore,availability
EE_Wind_Onshore2,2050,EE_Wind_Onshore,availability
EE_Wind_Offshore2,2050,EE_Wind_Offshore,availability
MT_Solar,2050,MT_Solar,availability
MT_Wind_Onshore,2050,MT_Wind_Onshore,availability
MT_Wind_Offshore,2050,MT_Wind_Offshore,availability
MT_Wind_Onshore2,2050,MT_Wind_Onshore,availability
MT_Wind_Offshore2,2050,MT_Wind_Offshore,availability
CY_Solar,2050,CY_Solar,availability
CY_Wind_Onshore,2050,CY_Wind_Onshore,availability
CY_Wind_Offshore,2050,CY_Wind_Offshore,availability
CY_Wind_Onshore2,2050,CY_Wind_Onshore,availability
CY_Wind_Offshore2,2050,CY_Wind_Offshore,availability
BG_Solar,2050,BG_Solar,availability
BG_Wind_Onshore,2050,BG_Wind_Onshore,availability
BG_Wind_Offshore,2050,BG_Wind_Offshore,availability
BG_Wind_Onshore2,2050,BG_Wind_Onshore,availability
BG_Wind_Offshore2,2050,BG_Wind_Offshore,availability
X1_Solar,2050,X1_Solar,availability
X1_Wind_Onshore,2050,X1_Wind_Onshore,availability
X1_Wind_Offshore,2050,X1_Wind_Offshore,availability
X1_Wind_Onshore2,2050,X1_Wind_Onshore,availability
X1_Wind_Offshore2,2050,X1_Wind_Offshore,availability
X2_Solar,2050,X2_Solar,availability
X2_Wind_Onshore,2050,X2_Wind_Onshore,availability
X2_Wind_Offshore,2050,X2_Wind_Offshore,availability
X2_Wind_Onshore2,2050,X2_Wind_Onshore,availability
X2_Wind_Offshore2,2050,X2_Wind_Offshore,availability
X3_Solar,2050,X3_Solar,availability
X3_Wind_Onshore,2050,X3_Wind_Onshore,availability
X3_Wind_Offshore,2050,X3_Wind_Offshore,availability
X3_Wind_Onshore2,2050,X3_Wind_Onshore,availability
X3_Wind_Offshore2,2050,X3_Wind_Offshore,availability
X4_Solar,2050,X4_Solar,availability
X4_Wind_Onshore,2050,X4_Wind_Onshore,availability
X4_Wind_Offshore,2050,X4_Wind_Offshore,availability
X4_Wind_Onshore2,2050,X4_Wind_Onshore,availability
X4_Wind_Offshore2,2050,X4_Wind_Offshore,availability
X5_Solar,2050,X5_Solar,availability
X5_Wind_Onshore,2050,X5_Wind_Onshore,availability
X5_Wind_Offshore,2050,X5_Wind_Offshore,availability
X5_Wind_Onshore2,2050,X5_Wind_Onshore,availability
X5_Wind_Offshore2,2050,X5_Wind_Offshore,availability
X6_Solar,2050,X6_Solar,availability
X6_Wind_Onshore,2050,X6_Wind_Onshore,availability
X6_Wind_Offshore,2050,X6_Wind_Offshore,availability
X6_Wind_Onshore2,2050,X6_Wind_Onshore,availability
X6_Wind_Offshore2,2050,X6_Wind_Offshore,availability
X7_Solar,2050,X7_Solar,availability
X7_Wind_Onshore,2050,X7_Wind_Onshore,availability
X7_Wind_Offshore,2050,X7_Wind_Offshore,availability
X7_Wind_Onshore2,2050,X7_Wind_Onshore,availability
X7_Wind_Offshore2,2050,X7_Wind_Offshore,availability
X8_Solar,2050,X8_Solar,availability
X8_Wind_Onshore,2050,X8_Wind_Onshore,availability
X8_Wind_Offshore,2050,X8_Wind_Offshore,availability
X8_Wind_Onshore2,2050,X8_Wind_Onshore,availability
X8_Wind_Offshore2,2050,X8_Wind_Offshore,availability
X9_Solar,2050,X9_Solar,availability
X9_Wind_Onshore,2050,X9_Wind_Onshore,availability
X9_Wind_Offshore,2050,X9_Wind_Offshore,availability
X9_Wind_Onshore2,2050,X9_Wind_Onshore,availability
X9_Wind_Offshore2,2050,X9_Wind_Offshore,availability
X0_Solar,2050,X0_Solar,availability
X0_Wind_Onshore,2050,X0_Wind_Onshore,availability
X0_Wind_Offshore,2050,X0_Wind_Offshore,availability
X0_Wind_Onshore2,2050,X0_Wind_Onshore,availability
X0_Wind_Offshore2,2050,X0_Wind_Offshore,availability
NL_E_Demand,2050,NL_E_Demand,demand
BE_E_Demand,2050,BE_E_Demand,demand
DE_E_Demand,2050,DE_E_Demand,demand
FR_E_Demand,2050,FR_E_Demand,demand
LU_E_Demand,2050,LU_E_Demand,demand
CH_E_Demand,2050,CH_E_Demand,demand
UK_E_Demand,2050,UK_E_Demand,demand
DK_E_Demand,2050,DK_E_Demand,demand
NO_E_Demand,2050,NO_E_Demand,demand
IE_E_Demand,2050,IE_E_Demand,demand
SE_E_Demand,2050,SE_E_Demand,demand
AT_E_Demand,2050,AT_E_Demand,demand
CZ_E_Demand,2050,CZ_E_Demand,demand
PL_E_Demand,2050,PL_E_Demand,demand
ES_E_Demand,2050,ES_E_Demand,demand
IT_E_Demand,2050,IT_E_Demand,demand
LT_E_Demand,2050,LT_E_Demand,demand
FI_E_Demand,2050,FI_E_Demand,demand
SI_E_Demand,2050,SI_E_Demand,demand
HU_E_Demand,2050,HU_E_Demand,demand
SK_E_Demand,2050,SK_E_Demand,demand
PT_E_Demand,2050,PT_E_Demand,demand
HR_E_Demand,2050,HR_E_Demand,demand
RO_E_Demand,2050,RO_E_Demand,demand
GR_E_Demand,2050,GR_E_Demand,demand
LV_E_Demand,2050,LV_E_Demand,demand
EE_E_Demand,2050,EE_E_Demand,demand
MT_E_Demand,2050,MT_E_Demand,demand
CY_E_Demand,2050,CY_E_Demand,demand
BG_E_Demand,2050,BG_E_Demand,demand
X1_E_Demand,2050,X1_E_Demand,demand
X2_E_Demand,2050,X2_E_Demand,demand
X3_E_Demand,2050,X3_E_Demand,demand
X4_E_Demand,2050,X4_E_Demand,demand
X5_E_Demand,2050,X5_E_Demand,demand
X6_E_Demand,2050,X6_E_Demand,demand
X7_E_Demand,2050,X7_E_Demand,demand
X8_E_Demand,2050,X8_E_Demand,demand
X9_E_Demand,2050,X9_E_Demand,demand
X0_E_Demand,2050,X0_E_Demand,demand
