asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory
BE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
BE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
BE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
BE_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
BE_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
BE_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
BE_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
BE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
DE_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DE_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DE_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
DE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
DE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
DE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
DE_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DE_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DE_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
DE_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
DE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
FR_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
FR_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
FR_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
FR_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
FR_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
FR_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
FR_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
FR_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
FR_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
FR_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
FR_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
FR_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
LU_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
LU_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
LU_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
LU_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
LU_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
LU_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
LU_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
LU_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
LU_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
LU_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
LU_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
LU_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
CH_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CH_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CH_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CH_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
CH_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
CH_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
CH_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
CH_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CH_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CH_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
CH_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
CH_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
UK_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
UK_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
UK_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
UK_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
UK_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
UK_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
UK_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
UK_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
UK_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
UK_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
UK_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
UK_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
DK_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DK_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DK_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DK_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
DK_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
DK_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
DK_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
DK_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DK_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
DK_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
DK_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
DK_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
NO_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
NO_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
NO_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
NO_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
NO_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
NO_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
NO_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
NO_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
NO_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
NO_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
NO_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
NO_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
IE_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
IE_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
IE_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
IE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
IE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
IE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
IE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
IE_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
IE_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
IE_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
IE_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
IE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
SE_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
SE_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
SE_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
SE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
SE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
SE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
SE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
SE_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
SE_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
SE_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
SE_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
SE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
AT_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
AT_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
AT_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
AT_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
AT_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
AT_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
AT_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
AT_Wind_Onshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
AT_Wind_Offshore2,73,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
AT_Coal2,624,,,0.05,100.0,0.0,,true,false,simple,false,120.0,60.0,0.5,0.5,0.405,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.48,,
AT_Nuclear2,1895,,,0.05,100.0,0.0,,true,false,simple,false,54.0,0.0,0.3,0.3,0.42,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.25,,
AT_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
CZ_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CZ_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CZ_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,su-sd-cons-eq-9,,,,,
CZ_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,109.0,20.0,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.38,0.38,,
CZ_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,0.0,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.5,0.5,,
CZ_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,60.0,13.0,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.45,0.45,,
CZ_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,3.0,1.5,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,su-sd-cons-eq-9,,0.2,0.2,,
